Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
60,2014-06-05T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,37,243,NA
60,2014-09-05T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,43,229,NA
60,2014-05-15T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,32,204,NA
60,2014-05-20T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,30,202,NA
60,2014-05-23T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,27,189,NA
60,2014-05-28T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,31,NA,NA
60,2014-03-06T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,NA,NA
60,2014-06-06T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,34,NA,NA
60,2014-11-06T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,27,190,NA
60,2014-06-16T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,34,189,NA
60,2014-06-19T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,35,175,NA
60,2014-06-24T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,149,NA
60,2014-06-27T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,41,271,NA
60,2014-03-07T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,23,128,NA
60,2014-08-07T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,28,183,NA
60,2014-11-07T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,31,157,NA
60,2014-07-16T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,30,163,NA
60,2014-07-21T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,26,108,NA
60,2014-07-24T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,20,105,NA
60,2014-07-30T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,36,168,NA
60,2014-05-08T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,35,147,NA
60,2014-08-08T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,39,147,NA
60,2014-08-13T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,46,141,NA
60,2014-08-20T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,38,147,NA
60,2014-03-09T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,23,139,NA
60,2014-08-09T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,27,NA,NA
60,2014-11-09T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,22,NA,NA
60,2014-09-16T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,29,NA,NA
60,2014-09-19T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,28,129,NA
60,2014-09-24T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,39,207,NA
60,2014-09-29T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,43,324,NA
60,2014-08-10T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,35,266,NA
60,2014-10-13T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,32,207,NA
60,2014-10-16T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,43,216,NA
60,2014-10-21T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,40,159,NA
60,2014-10-30T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,161,NA
60,2014-07-11T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,52,318,NA
60,2014-12-11T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,44,240,NA
60,2014-11-17T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,52,615,NA
60,2014-11-20T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,42,348,NA
60,2014-11-25T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,48,187,NA
60,2014-01-12T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,38,130,NA
60,2014-04-12T12:46:36Z,Delhi,Delhi,"Siri Fort, Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",4,39,255,NA
